ID,total_amount
0,7.1085167
1,12.889916
2,18.119398
3,10.07651
4,6.6854477
5,10.866138
6,11.827514
7,12.964769
8,6.302882
9,12.385108
10,16.656275
11,13.09769
12,16.885233
13,16.661423
14,10.700294
15,5.963724
16,41.896084
17,10.884645
18,8.016581
19,7.2733393
20,18.086935
21,13.611895
22,6.6822243
23,47.30065
24,23.10278
25,9.5266285
26,13.13005
27,18.22619
28,54.01736
29,5.17103
30,26.040937
31,9.337469
32,21.534027
33,20.11973
34,12.106356
35,16.760717
36,9.067247
37,18.719
38,4.9743447
39,7.8674
40,9.233291
41,9.086854
42,12.163638
43,49.205284
44,20.636316
45,8.019169
46,12.019077
47,7.04762
48,5.638751
49,35.778427
50,8.209656
51,86.30772
52,7.7150946
53,7.3861647
54,8.497468
55,7.2625484
56,11.130099
57,7.3244333
58,9.058677
59,12.713283
60,6.5185413
61,22.190382
62,45.688732
63,4.1915884
64,13.205684
65,9.713139
66,14.408617
67,20.356081
68,12.310746
69,18.00786
70,9.905776
71,21.870893
72,8.912818
73,11.328977
74,7.7524424
75,10.440895
76,11.254101
77,11.371372
78,8.492362
79,29.2402
80,15.162403
81,9.866848
82,7.46288
83,10.667805
84,7.1354494
85,12.5081
86,18.4293
87,9.351163
88,11.7117195
89,18.85848
90,19.92943
91,22.254625
92,25.849298
93,8.772879
94,9.11254
95,7.1714716
96,19.41388
97,9.111194
98,19.544931
99,10.748189
100,7.0291567
101,27.548256
102,13.108697
103,9.492038
104,24.370773
105,8.1010895
106,19.318605
107,12.094796
108,47.336086
109,7.9316072
110,6.951581
111,6.5708914
112,34.668137
113,6.2466974
114,15.570779
115,12.404649
116,5.8918686
117,54.215954
118,6.2458134
119,11.161242
120,11.886871
121,11.1476145
122,6.219775
123,24.48765
124,10.649827
125,9.168012
126,14.706731
127,9.225336
128,7.9574146
129,9.618065
130,12.0305395
131,57.002903
132,41.96339
133,8.432379
134,11.670221
135,21.475698
136,18.000484
137,11.819677
138,9.698447
139,12.036922
140,8.6441765
141,5.7060575
142,17.077831
143,13.634926
144,10.930453
145,7.922205
146,25.721857
147,8.497343
148,7.730791
149,15.389761
150,15.322852
151,11.062647
152,8.898725
153,32.986416
154,10.661785
155,5.9616594
156,22.864912
157,22.610994
158,6.59433
159,20.688118
160,12.659099
161,6.13334
162,10.446232
163,19.38165
164,11.100891
165,7.7362146
166,6.626066
167,7.8973026
168,9.12421
169,7.853923
170,9.648935
171,55.608418
172,17.421003
173,21.23568
174,37.951366
175,15.3074045
176,3.6917336
177,10.806823
178,7.6492023
179,6.1154156
180,9.061012
181,7.185417
182,8.455104
183,16.533257
184,15.619234
185,51.674328
186,7.7342453
187,8.391111
188,50.84557
189,10.188178
190,8.066768
191,39.409748
192,6.345974
193,13.376539
194,20.692713
195,7.1645784
196,10.536095
197,16.337746
198,6.486416
199,7.039459
200,7.9688683
201,10.076753
202,10.64101
203,11.448586
204,7.308054
205,9.684763
206,7.924491
207,10.517799
208,8.687473
209,11.9372635
210,9.52071
211,16.758305
212,14.759225
213,10.416826
214,6.1135187
215,17.007418
216,8.670998
217,35.192905
218,15.382174
219,13.271168
220,9.310603
221,6.1945
222,18.543575
223,7.7656326
224,8.257828
225,8.52421
226,20.867527
227,7.7954893
228,16.270552
229,59.92982
230,78.74171
231,12.320627
232,13.134007
233,11.509958
234,15.127867
235,17.9402
236,40.72289
237,8.88536
238,11.919176
239,7.441386
240,6.350258
241,19.424614
242,11.065994
243,18.243025
244,17.601206
245,8.665673
246,15.423987
247,12.365817
248,18.511467
249,20.90109
250,7.657879
251,8.952642
252,70.6949
253,5.9527187
254,7.788495
255,8.290141
256,12.567148
257,21.539948
258,8.888049
259,14.196444
260,12.427431
261,9.627444
262,6.894478
263,7.0040913
264,5.9399714
265,22.334133
266,13.1720705
267,13.16434
268,26.440907
269,7.300745
270,15.257669
271,12.466244
272,14.249641
273,26.85625
274,14.037986
275,6.609021
276,63.897526
277,10.151661
278,13.960312
279,10.634401
280,10.974046
281,12.254178
282,13.23777
283,13.891928
284,21.083963
285,10.628382
286,11.88231
287,11.429192
288,13.479643
289,5.3384466
290,7.602515
291,8.369412
292,9.168894
293,18.562712
294,8.897299
295,10.766883
296,24.04265
297,12.110022
298,13.274031
299,11.49052
300,8.093257
301,10.993585
302,14.719931
303,4.61304
304,7.9956245
305,7.2406187
306,10.305763
307,8.268992
308,11.397198
309,12.368849
310,16.833374
311,51.263355
312,14.436075
313,11.773407
314,9.9323845
315,9.665154
316,6.209553
317,50.224884
318,19.593159
319,7.7803392
320,6.988184
321,27.505022
322,23.134403
323,6.3829155
324,25.913591
325,8.524923
326,20.414093
327,6.647892
328,12.05057
329,9.467034
330,7.7803383
331,6.6779175
332,15.045767
333,9.357088
334,39.0236
335,29.35346
336,4.7470856
337,16.750366
338,15.886968
339,27.034248
340,6.5785217
341,32.944206
342,9.848732
343,14.698833
344,13.309322
345,22.882124
346,39.254154
347,9.338106
348,8.117881
349,6.135626
350,10.03983
351,5.6129665
352,34.797176
353,6.4683485
354,16.53567
355,14.798337
356,7.400297
357,11.787199
358,8.308515
359,8.692391
360,6.679929
361,7.741534
362,6.8723116
363,9.394898
364,6.2465944
365,6.6682625
366,10.950818
367,9.460749
368,8.8693075
369,15.188259
370,8.045995
371,6.659417
372,11.848522
373,42.053707
374,14.143751
375,22.386665
376,12.601051
377,8.448574
378,6.8013363
379,18.251455
380,6.54056
381,19.868935
382,7.5614824
383,5.1682205
384,19.707117
385,12.219986
386,11.442901
387,11.129229
