ID,total_amount
0,7.4264765
1,13.191844
2,17.567968
3,10.513424
4,6.8145504
5,10.830178
6,12.022838
7,13.986057
8,6.1473064
9,12.320107
10,16.32796
11,14.118801
12,16.770638
13,17.00591
14,12.286758
15,6.4811096
16,41.15659
17,10.960995
18,7.9074907
19,7.6771593
20,17.949091
21,13.492351
22,6.9707985
23,46.46843
24,22.701313
25,10.090403
26,13.730016
27,18.52673
28,52.872265
29,5.5209312
30,26.183435
31,9.5114975
32,21.009386
33,21.514214
34,12.039248
35,16.633255
36,8.917645
37,18.414135
38,5.3043184
39,9.024682
40,9.921116
41,10.2081585
42,12.581949
43,49.193768
44,20.746004
45,7.881341
46,11.759489
47,7.021858
48,5.6339693
49,36.035233
50,8.599369
51,85.17042
52,7.6959896
53,7.3308706
54,8.728028
55,7.1440277
56,11.115845
57,7.5285244
58,9.371049
59,13.889005
60,7.274226
61,21.934233
62,44.70213
63,4.2083635
64,12.824317
65,9.777857
66,14.046768
67,20.25962
68,12.77396
69,16.207855
70,10.240403
71,21.457794
72,8.805701
73,10.792383
74,8.112749
75,10.191963
76,11.109212
77,11.162795
78,8.257775
79,28.73211
80,15.452024
81,9.744753
82,7.5315514
83,10.508007
84,7.4451036
85,12.218014
86,18.243471
87,9.814337
88,12.295469
89,19.148455
90,19.337692
91,21.823568
92,25.802282
93,8.9667015
94,8.851241
95,7.5483084
96,19.33284
97,9.263239
98,25.60704
99,10.554321
100,8.052593
101,27.087606
102,12.9597025
103,9.994648
104,24.433626
105,8.132534
106,19.027006
107,11.887392
108,46.39695
109,7.8367424
110,7.145609
111,6.7473497
112,34.7092
113,6.59328
114,15.635811
115,12.741462
116,5.8905582
117,52.39517
118,6.5378485
119,10.8815975
120,11.886405
121,11.48724
122,6.46743
123,24.90179
124,10.321861
125,9.652895
126,14.491554
127,9.627498
128,7.7284575
129,9.359262
130,11.833542
131,55.48218
132,38.720356
133,8.22659
134,11.638242
135,21.10792
136,17.80073
137,11.958683
138,9.4631195
139,11.981735
140,8.639403
